label,message
spam,"Dear customer, this is an automated message from PayQuick, please give the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. verification compliance important support immediately security confirm protocol protect protocol information support risk support update system confirm immediately protocol"
spam,"Dear customer, this is an automated message from ShopEase, provide the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. immediately update confirm protect account confirm system notice immediately system account security account account alert immediately verification confirm information confirm"
spam,"Dear customer, this is an automated message from SecureMail, enter the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. security compliance immediately compliance confirm compliance verify risk information update notice device urgent device notice update support compliance confirm immediately"
spam,"Dear customer, this is an automated message from FastPay, submit the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. system confirm confirm compliance urgent alert information compliance important protect verification system urgent device risk urgent system verification protect security"
spam,"Dear customer, this is an automated message from GlobalCard, forward the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. device confirm alert notice device notice protocol account security urgent immediately support alert information notice information notice verify important urgent"
spam,"Dear customer, this is an automated message from QuickLoan, type the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. important verification information risk confirm information notice important system confirm verification protocol support verification urgent alert information support device confirm"
spam,"Dear customer, this is an automated message from MyWallet, paste the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. security information system verification notice update system verification support notice alert compliance device immediately alert protocol protocol verification support system"
spam,"Dear customer, this is an automated message from PrimeServices, key in the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. protocol confirm compliance confirm support account protocol immediately protect compliance confirm account update protocol security update confirm protect system"
spam,"Dear customer, this is an automated message from XYZ Bank, please send the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. device urgent update important confirm notice alert update confirm account urgent verify security confirm protect notice information system protect"
spam,"Dear customer, this is an automated message from ABC Telecom, kindly share the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. notice security confirm information alert risk protect immediately compliance confirm alert confirm account account verification important verification immediately notice"
spam,"Dear customer, this is an automated message from PayQuick, please give the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. important confirm protect confirm support immediately account verification important confirm important urgent immediately account support risk information verification update"
spam,"Dear customer, this is an automated message from ShopEase, provide the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. protect update risk protect compliance important security verify protect protocol compliance security system security verification risk alert support verification notice"
spam,"Dear customer, this is an automated message from SecureMail, enter the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. system notice confirm immediately protect compliance update support alert system system confirm verify confirm confirm information important important security urgent"
spam,"Dear customer, this is an automated message from FastPay, submit the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. protect risk account confirm confirm confirm protect information verify notice system information verify compliance immediately system verify protocol security important"
spam,"Dear customer, this is an automated message from GlobalCard, forward the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. alert confirm risk account verification information information verify immediately protect security urgent compliance alert account security support protocol risk support"
spam,"Dear customer, this is an automated message from QuickLoan, type the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. support information account urgent notice protect information verify important risk system protect security alert alert information update alert information account"
spam,"Dear customer, this is an automated message from MyWallet, paste the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. verify protocol risk protect alert alert support compliance immediately support information immediately compliance important device notice system notice confirm immediately"
spam,"Dear customer, this is an automated message from PrimeServices, key in the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. verify compliance information verification support system confirm important risk risk security support verify protect verification protocol protect confirm immediately"
spam,"Dear customer, this is an automated message from XYZ Bank, please send the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. account protocol support confirm risk device verify immediately update update account notice compliance verify immediately protocol account account risk"
spam,"Dear customer, this is an automated message from ABC Telecom, kindly share the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. support protect verification immediately alert risk immediately protect alert important information risk confirm notice urgent confirm confirm protocol device"
spam,"Dear customer, this is an automated message from PayQuick, please give the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. information protocol support protect urgent immediately risk update update compliance immediately protect confirm compliance information important protect support alert"
spam,"Dear customer, this is an automated message from ShopEase, provide the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. information system update update update device alert confirm notice update urgent security system verify support confirm compliance security system update"
spam,"Dear customer, this is an automated message from SecureMail, enter the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. compliance information verify urgent notice account device verification immediately risk notice important security update system confirm verify verification protect account"
spam,"Dear customer, this is an automated message from FastPay, submit the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. account urgent protocol verify information important compliance alert risk system compliance account protocol important device protect confirm risk risk support"
spam,"Dear customer, this is an automated message from GlobalCard, forward the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. account support information account risk information confirm urgent system protect verify account notice system device system system information confirm information"
spam,"Dear customer, this is an automated message from QuickLoan, type the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. protocol system verify system alert compliance risk confirm security account confirm important verification immediately support immediately verify protocol account protocol"
spam,"Dear customer, this is an automated message from MyWallet, paste the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. protect protocol confirm alert verification support verification support update confirm support support protocol device notice urgent immediately protect information information"
spam,"Dear customer, this is an automated message from PrimeServices, key in the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. risk protocol verify verification confirm urgent update risk verify confirm security protocol verify alert compliance verification verify alert protect"
spam,"Dear customer, this is an automated message from XYZ Bank, please send the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. security update verification protect information confirm verify compliance confirm important compliance security protect compliance support urgent device compliance support"
spam,"Dear customer, this is an automated message from ABC Telecom, kindly share the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. update security information immediately support device device important verification protocol protect information system risk urgent notice confirm verification risk"
spam,"Dear customer, this is an automated message from PayQuick, please give the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. security notice confirm confirm update alert verification verify urgent update verification verification account important information urgent urgent notice confirm"
spam,"Dear customer, this is an automated message from ShopEase, provide the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. alert important security confirm immediately confirm protect notice immediately verification immediately verify urgent notice update immediately protect support security protect"
spam,"Dear customer, this is an automated message from SecureMail, enter the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. compliance information protect verify security security system security account system immediately alert support immediately protect system security confirm update information"
spam,"Dear customer, this is an automated message from FastPay, submit the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. notice confirm confirm protect confirm alert protect compliance security compliance information device important verify security protocol security security confirm protocol"
spam,"Dear customer, this is an automated message from GlobalCard, forward the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. risk risk risk alert verification device information notice update confirm support system device risk confirm information confirm verification protocol device"
spam,"Dear customer, this is an automated message from QuickLoan, type the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. notice risk protocol protocol support protocol system system urgent verify protocol account important confirm alert alert urgent update risk compliance"
spam,"Dear customer, this is an automated message from MyWallet, paste the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. verification system urgent confirm confirm compliance alert device confirm notice risk security security important system information account information protect compliance"
spam,"Dear customer, this is an automated message from PrimeServices, key in the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. account notice verification compliance account information protect information urgent device risk urgent alert confirm verification account alert urgent confirm"
spam,"Dear customer, this is an automated message from XYZ Bank, please send the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. important device confirm immediately protocol protocol security update urgent urgent verify update risk risk confirm compliance verification urgent alert"
spam,"Dear customer, this is an automated message from ABC Telecom, kindly share the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. protocol system protocol verify security protocol confirm risk immediately device alert alert alert important immediately verification immediately verify alert"
spam,"Dear customer, this is an automated message from PayQuick, please give the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. confirm protocol protocol confirm verification important system notice information important notice protect notice notice compliance verify risk system system"
spam,"Dear customer, this is an automated message from ShopEase, provide the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. update system important security compliance alert account security immediately alert protect security protocol security update update system immediately protect risk"
spam,"Dear customer, this is an automated message from SecureMail, enter the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. notice update compliance protocol information alert protect important security verification update alert confirm immediately important confirm compliance compliance immediately important"
spam,"Dear customer, this is an automated message from FastPay, submit the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. device account compliance alert risk notice system security security information account confirm information verify update alert risk verification alert support"
spam,"Dear customer, this is an automated message from GlobalCard, forward the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. information device risk verify alert device notice protocol information protocol confirm information immediately system compliance device device important confirm verify"
spam,"Dear customer, this is an automated message from QuickLoan, type the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. protect confirm verification security protocol verification notice protocol update urgent alert notice verification device important protocol notice protocol important compliance"
spam,"Dear customer, this is an automated message from MyWallet, paste the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. compliance information confirm compliance account confirm compliance immediately alert protocol protect protocol device verify support protect account device immediately support"
spam,"Dear customer, this is an automated message from PrimeServices, key in the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. protocol protocol verification account system update risk verification protocol update account notice account verify verification compliance verify confirm protect"
spam,"Dear customer, this is an automated message from XYZ Bank, please send the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. alert urgent security immediately confirm support device urgent verify protocol system notice verification account protocol information verification confirm compliance"
spam,"Dear customer, this is an automated message from ABC Telecom, kindly share the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. urgent security account protocol immediately confirm immediately verification account alert urgent compliance notice protect verification verify risk urgent immediately"
spam,"Dear customer, this is an automated message from PayQuick, please give the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. confirm verification compliance system confirm compliance information security support security immediately immediately support risk device protect system support account"
spam,"Dear customer, this is an automated message from ShopEase, provide the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. urgent notice alert confirm system notice confirm alert urgent immediately protocol important notice protect information system protocol security notice protect"
spam,"Dear customer, this is an automated message from SecureMail, enter the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. account urgent important urgent verify immediately support immediately account notice important device notice update alert verification device update confirm update"
spam,"Dear customer, this is an automated message from FastPay, submit the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. device support protect protect verify immediately protocol confirm security system protocol immediately alert security information alert system compliance information device"
spam,"Dear customer, this is an automated message from GlobalCard, forward the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. urgent update device support account support verify security system device protocol information support verification system notice urgent security notice device"
spam,"Dear customer, this is an automated message from QuickLoan, type the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. device risk system information verify device notice risk immediately device system confirm verification confirm protect device risk account account compliance"
spam,"Dear customer, this is an automated message from MyWallet, paste the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. support account verify protect verification update protect update compliance security information protocol alert alert security immediately update update confirm verify"
spam,"Dear customer, this is an automated message from PrimeServices, key in the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. system notice immediately verification confirm verification notice urgent risk device protocol risk system security alert support confirm immediately notice"
spam,"Dear customer, this is an automated message from XYZ Bank, please send the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. protocol security support system compliance information alert update notice system important support compliance verify security verification important important alert"
spam,"Dear customer, this is an automated message from ABC Telecom, kindly share the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. confirm alert verify update protocol account system risk verification alert immediately immediately important verify important information confirm system protocol"
spam,"Dear customer, this is an automated message from PayQuick, please give the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. risk protocol urgent urgent system risk information notice compliance system protect system account support protect protocol information account security"
spam,"Dear customer, this is an automated message from ShopEase, provide the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. security compliance protect confirm system alert confirm confirm update support verification device risk alert protect account confirm security account device"
spam,"Dear customer, this is an automated message from SecureMail, enter the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. system confirm update important alert risk alert notice protect immediately protect alert urgent verify immediately support confirm device security protect"
spam,"Dear customer, this is an automated message from FastPay, submit the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. update information protect immediately protocol compliance update confirm notice device compliance risk important risk security immediately notice account support information"
spam,"Dear customer, this is an automated message from GlobalCard, forward the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. verification support device notice alert verify notice important immediately immediately urgent verification alert protect protect system immediately alert system important"
spam,"Dear customer, this is an automated message from QuickLoan, type the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. support confirm account alert protocol immediately confirm account protocol device information support risk notice confirm information urgent protect support notice"
spam,"Dear customer, this is an automated message from MyWallet, paste the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. notice risk confirm risk important system system protocol verification information urgent verify verification urgent alert important information compliance notice verify"
spam,"Dear customer, this is an automated message from PrimeServices, key in the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. update confirm security verification confirm alert information immediately alert important verify alert device notice confirm system information system important"
spam,"Dear customer, this is an automated message from XYZ Bank, please send the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. confirm risk confirm support account account confirm confirm alert alert verify notice account verification information device support protocol support"
spam,"Dear customer, this is an automated message from ABC Telecom, kindly share the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. protocol account account confirm alert compliance account protect confirm immediately verify information verification system risk confirm information immediately system"
spam,"Dear customer, this is an automated message from PayQuick, please give the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. security compliance confirm verification notice urgent risk verify compliance verify update protect important support alert system verify security risk"
spam,"Dear customer, this is an automated message from ShopEase, provide the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. immediately confirm verify verify important update important verify support device protect verify support verify update urgent risk verification support account"
spam,"Dear customer, this is an automated message from SecureMail, enter the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. support immediately protect verify update protect important verification important protect account important confirm notice risk notice important update update protocol"
spam,"Dear customer, this is an automated message from FastPay, submit the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. immediately security information important verification alert confirm account confirm notice support alert confirm urgent information information security verification alert compliance"
spam,"Dear customer, this is an automated message from GlobalCard, forward the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. immediately update confirm alert verification verify account system confirm verification important confirm system compliance immediately protect immediately information confirm confirm"
spam,"Dear customer, this is an automated message from QuickLoan, type the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. notice update security compliance confirm security risk security immediately immediately risk verification alert immediately verification confirm risk security immediately protocol"
spam,"Dear customer, this is an automated message from MyWallet, paste the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. protect immediately protect security protect protocol confirm device protocol confirm risk urgent alert security support verify security verify urgent compliance"
spam,"Dear customer, this is an automated message from PrimeServices, key in the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. notice notice support system compliance support device update verify device information information immediately information alert important immediately immediately confirm"
